signal_name,type,fanin,fanin_verb,Fanout,fanout_verb,loop,length,hier_level,size,tag
/designs/ftdi_if/instances_hier/u_sync/instances_seq/state_q_reg,3,6,55,1,1,1,2,1,278,1
/designs/ftdi_if/instances_hier/u_sync/instances_seq/rx_data_q_reg,3,5,36,1,1,1,8,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/tx_data_q_reg,3,2,20,1,1,1,8,1,278,0
/designs/ftdi_if/instances_hier/u_sync/instances_seq/clk_div_q_reg,3,1,5,1,1,1,3,1,278,0
data_idx_q_reg,3,9,97,1,1,1,2,0,278,0
data_q_reg,3,15,170,1,1,1,32,0,278,0
gp_in_q_reg,3,1,2,1,1,0,8,0,278,0
gp_out_q_reg,3,7,61,1,1,1,8,0,278,0
len_q_reg,3,16,211,1,1,1,12,0,278,0
mem_addr_q_reg,3,23,196,1,1,1,32,0,278,0
mem_sel_q_reg,3,21,184,1,1,1,4,0,278,0
state_q_reg,3,24,366,1,1,1,4,0,278,1
 ,1,0,1,0,2,0,1,0,566,1
csr_we,1,0,1,0,2,0,1,0,566,1
fml_stb,1,0,1,0,4,0,1,0,566,1
fml_we,1,0,1,10,66,0,1,0,566,1
dqs_psdone,1,0,1,0,2,0,1,0,566,1
fml_ack,2,1,3,1,1,0,1,0,566,0
sdram_cke,2,1,3,1,1,0,1,0,566,0
sdram_cs_n,2,1,3,1,1,0,1,0,566,0
sdram_we_n,2,1,3,1,1,0,1,0,566,0
sdram_cas_n,2,1,3,1,1,0,1,0,566,0
